pair_id,model_a,model_b,size_a,size_b,t_semantic,t_structural,t_behavioral,t_total,behavioral_timed_out_a,behavioral_timed_out_b,structural_overall,behavioral_score,error
0_1,model_1,model_2,4,16,0.7646580839937087,0.00018770797760225832,0.004463457997189835,0.769311416981509,False,False,0.075,0.0,
0_2,model_1,model_3,4,12,0.44116158300312236,0.0001062090159393847,0.0018486249900888652,0.44311862500035204,False,False,0.08,0.0,
0_3,model_1,model_4,4,13,0.2707311669946648,0.00010820801253430545,0.010175750008784235,0.28101716600940563,False,False,0.06727272727272728,0.0,
0_4,model_1,model_5,4,10,0.2974675000004936,0.00010579198715277016,0.0012853329826612025,0.29886074998648837,False,False,0.09999999999999999,0.0,
0_5,model_1,model_6,4,11,0.2810452090052422,0.00011179200373589993,0.005838000011863187,0.28699716698611155,False,False,0.0625,0.0,
0_6,model_1,model_7,4,11,0.033706665999488905,0.00010087501141242683,0.005306791979819536,0.03911604199674912,False,False,0.0625,0.0,
0_7,model_1,model_8,4,7,0.26569520897464827,8.875000639818609e-05,0.0008906250004656613,0.26667695798096247,False,False,0.09,0.0,
0_8,model_1,model_9,4,6,0.14698816699092276,8.833297761157155e-05,0.0009228329872712493,0.1480013330001384,False,False,0.065,0.0,
0_9,model_1,model_10,4,4,0.08158395899226889,7.199999527074397e-05,0.000598999991780147,0.08225633300025947,False,False,0.0375,0.0,
0_10,model_1,model_11,4,6,0.004303499998059124,7.904201629571617e-05,0.0008909169991966337,0.0052744589920621365,False,False,0.065,0.0,
0_11,model_1,model_12,4,4,0.1098152500053402,7.512498996220529e-05,0.0006247920100577176,0.11051658299402334,False,False,0.11249999999999999,0.0,
0_12,model_1,model_13,4,4,0.08886995899956673,7.229100447148085e-05,0.0005991669895593077,0.08954287500819191,False,False,0.11249999999999999,0.0,
0_13,model_1,model_14,4,4,0.030637500021839514,6.749999010935426e-05,0.0005672499828506261,0.0312733750033658,False,False,0.11249999999999999,0.0,
0_14,model_1,model_15,4,32,0.8052586250123568,0.0002557499974500388,0.04682958300691098,0.8523456249968149,False,False,0.045,0.0,
0_15,model_1,model_16,4,27,0.6443720830138773,0.0001818750170059502,0.005792167008621618,0.6503478339873254,False,False,0.08444444444444445,0.0,
0_16,model_1,model_17,4,23,0.5726094999990892,0.0001289169886149466,0.0030132500105537474,0.5757532500138041,False,False,0.09509803921568627,0.0,
0_17,model_1,model_18,4,37,0.9260380420018919,0.00021933301468379796,0.006420582998543978,0.9326796250243206,False,False,0.07145161290322581,0.0,
0_18,model_1,model_19,4,52,1.2594069589977153,0.00036583299515768886,0.017825707996962592,1.2776002080063336,False,False,0.07026315789473685,0.0,
0_19,model_1,model_20,4,22,0.37232012499589473,0.00016929200501181185,0.006034040998201817,0.3785250830114819,False,False,0.10428571428571429,0.0,
0_20,model_1,model_21,4,15,0.40627695800503716,0.00011504199937917292,0.0017502080008853227,0.40814375001355074,False,False,0.145,0.0,
0_21,model_1,model_22,4,19,0.7135319999943022,0.00012908398639410734,0.0029790420085191727,0.7166420830180869,False,False,0.05333333333333334,0.0,
0_22,model_1,model_23,4,18,0.5933294999995269,0.0001192909840028733,0.002064000000245869,0.5955146249907557,False,False,0.1845508658008658,0.0,
0_23,model_1,model_24,4,19,0.39206229100818746,0.00012045798939652741,0.002449624997097999,0.39463408399024047,False,False,0.09333333333333335,0.0,
0_24,model_1,model_25,4,29,0.5779115830082446,0.00021729199215769768,0.010902749985689297,0.5890332499984652,False,False,0.05999999999999999,0.0,
0_25,model_1,model_26,4,26,0.5005439159867819,0.0001867079990915954,0.004945166991092265,0.5056775420089252,False,False,0.12666666666666668,0.0,
0_26,model_1,model_27,4,25,0.48155845899600536,0.000179541006218642,0.0057859160006046295,0.48752558301202953,False,False,0.04807692307692308,0.0,
0_27,model_1,model_28,4,27,0.07291829198948108,0.00018687499687075615,0.007743333000689745,0.08084995800163597,False,False,0.05333333333333334,0.0,
0_28,model_1,model_29,4,28,0.07206883298931643,0.00018204099615104496,0.007423624978400767,0.07967591698979959,False,False,0.04642857142857143,0.0,
